City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alofi,-19.0595,-169.9187,26.94,65,40,6.17,NU,1699415750
1,sitka,57.0531,-135.33,7.94,87,100,5.66,US,1699415750
2,avarua,-21.2078,-159.775,24.03,60,20,7.72,CK,1699415750
3,hawaiian paradise park,19.5933,-154.9731,26.73,82,0,2.57,US,1699415750
4,jamestown,42.097,-79.2353,5.77,80,100,5.66,US,1699415750
5,tazovsky,67.4667,78.7,-2.49,96,100,5.72,RU,1699415750
6,lucea,18.451,-78.1736,27.92,77,97,5.57,JM,1699415751
7,boguchany,58.3814,97.4531,-10.64,99,54,1.34,RU,1699415751
8,hamilton,39.1834,-84.5333,14.47,72,0,4.63,US,1699415622
9,fort saskatchewan,53.7168,-113.2187,2.55,96,75,3.09,CA,1699415751
10,talnakh,69.4865,88.3972,-7.66,92,100,9.06,RU,1699415751
11,korla,41.7597,86.1469,10.19,18,0,1.0,CN,1699415752
12,yuzhno-kurilsk,44.0306,145.8556,9.1,72,78,9.84,RU,1699415752
13,invercargill,-46.4,168.35,13.34,67,96,5.36,NZ,1699415752
14,west island,-12.1568,96.8225,27.99,78,75,5.66,CC,1699415752
15,wamba,8.9333,8.6,22.13,60,38,1.63,NG,1699415752
16,dem'yanovo,60.3511,47.0842,3.68,83,100,3.54,RU,1699415752
17,waitangi,-43.9535,-176.5597,12.12,96,100,4.02,NZ,1699415753
18,hobyo,5.3505,48.5268,27.12,79,98,5.36,SO,1699415753
19,longyearbyen,78.2186,15.6401,-6.09,86,75,0.0,SJ,1699415753
20,nagqu,31.5,92.0,-4.61,58,75,0.75,CN,1699415753
21,east grand forks,47.93,-97.0245,4.13,94,100,3.6,US,1699415754
22,port-aux-francais,-49.35,70.2167,4.57,86,74,13.27,TF,1699415754
23,klyuchi,52.2667,79.1667,1.13,57,18,2.55,RU,1699415754
24,chhor,25.5167,69.7667,29.76,27,44,1.71,PK,1699415754
